CourseCode,CourseName,College,Survey1_Median,Survey1_Std,Survey1_Q1,Survey1_Q3,Survey2_Median,Survey2_Std,Survey2_Q1,Survey2_Q3,Survey3_Median,Survey3_Std,Survey3_Q1,Survey3_Q3,Survey4_Median,Survey4_Std,Survey4_Q1,Survey4_Q3,Survey5_Median,Survey5_Std,Survey5_Q1,Survey5_Q3,Survey6_Median,Survey6_Std,Survey6_Q1,Survey6_Q3,Survey7_Median,Survey7_Std,Survey7_Q1,Survey7_Q3
HAA01101,국어사,인문대학,3.0,1.1832159566199232,2.5,4.5,4.0,0.833809387832792,3.5,5.0,4.0,0.8618916073713346,3.0,4.5,3.0,0.816496580927726,3.0,4.0,4.0,0.6546536707079771,4.0,4.0,4.0,0.6761234037828132,4.0,5.0,4.0,0.7237468644557459,4.0,5.0
HAA01102,현대문학사,인문대학,4.0,0.9459053029269173,3.0,4.0,4.0,0.8752610304046612,4.0,5.0,4.0,0.8819171036881969,3.5,5.0,4.0,0.9334586382051248,3.0,4.5,4.0,0.8752610304046612,3.0,4.5,4.0,0.898341551894183,4.0,5.0,4.0,0.898341551894183,4.0,5.0
HAA01103,고전문학사,인문대학,3.0,0.8876253645985945,3.0,4.25,4.0,0.8348471099367218,3.75,5.0,4.0,0.7537783614444091,4.0,5.0,4.0,0.7537783614444091,4.0,5.0,4.5,0.5222329678670934,4.0,5.0,5.0,0.492365963917331,4.0,5.0,5.0,0.4923659639173308,4.0,5.0
HAA01107,현대문학입문,인문대학,3.0,0.936585811581694,3.0,3.0,3.0,0.8719139396343283,3.0,4.0,4.0,0.9612370197756299,3.0,4.0,3.0,1.0651304727481081,3.0,4.0,4.0,1.1572300058975777,3.0,5.0,4.0,1.067872125861979,3.0,5.0,4.0,0.9459053029269173,3.0,4.0
HAA01214,고전시가론,인문대학,3.0,1.0465362369445672,3.0,4.0,4.0,0.9611501047232547,3.5,4.0,4.0,1.0327955589886444,4.0,4.5,4.0,1.0555973258234952,3.0,4.0,4.0,1.0823255385643318,3.0,4.5,4.0,1.1338934190276817,3.5,5.0,4.0,1.1254628677422753,4.0,5.0
HAA01216,현대소설교육론,인문대학,3.0,1.0488088481701516,3.0,3.0,4.0,1.2071217242444348,3.0,4.0,3.0,1.2031704150364766,3.0,4.0,3.0,1.0281745265969475,3.0,4.0,3.0,1.121223821162776,3.0,4.0,3.0,1.1233453440081378,3.0,4.0,3.0,1.1670067531530235,3.0,4.0
HAA01293,소셜미디어와언어,인문대학,4.0,1.0032626514091003,3.0,4.75,4.0,0.8323523637957303,3.25,5.0,4.0,0.8574929257125442,3.25,5.0,4.0,0.9633818428657442,3.0,5.0,4.0,0.872604096080652,3.0,5.0,4.0,0.8084520834544431,4.0,5.0,4.5,0.8782037520219095,3.25,5.0
HAA01325,고전문학강독,인문대학,3.0,1.2776356840572631,3.0,4.0,4.0,1.0880365478290537,3.0,5.0,5.0,1.0914103126634982,4.0,5.0,4.0,1.1440382552221602,3.0,5.0,5.0,1.0914103126634982,4.0,5.0,5.0,1.1311108542958477,4.0,5.0,5.0,1.0914103126634982,4.0,5.0
HAA01343,국어생활과어문규범,인문대학,4.0,1.036018017861337,3.0,4.0,4.0,0.9128709291752772,3.0,4.0,4.0,0.9521904571390467,3.0,4.0,4.0,0.7371114795831996,3.0,4.0,4.0,0.9363047936792092,3.0,4.0,4.0,0.8906926143924926,3.0,4.0,4.0,0.8812869377601522,4.0,4.0
HAA01350,국어교육론,인문대학,4.0,0.9275204136012634,3.0,5.0,4.0,0.7717436331412898,4.0,5.0,4.0,0.7717436331412898,4.0,5.0,4.0,0.9926198253344827,3.0,5.0,4.0,0.701888209634219,4.0,5.0,5.0,0.6242642728467979,4.0,5.0,4.0,0.6183469424008423,4.0,5.0
HAA01352,국어논리및논술,인문대학,3.0,1.4960264830861913,2.5,4.5,4.0,1.3972762620115438,3.0,4.5,4.0,1.3801311186847083,3.5,4.5,4.0,1.3972762620115438,3.0,4.5,4.0,1.3972762620115438,3.0,4.5,4.0,1.3801311186847083,3.5,4.5,4.0,1.4638501094227998,3.5,5.0
HAA01353,국문취업세미나,인문대학,4.0,1.4142135623730951,3.5,4.5,4.0,1.4142135623730951,3.5,4.5,4.0,1.4142135623730951,3.5,4.5,3.5,2.1213203435596424,2.75,4.25,4.0,1.4142135623730951,3.5,4.5,4.0,1.4142135623730951,3.5,4.5,4.0,1.4142135623730951,3.5,4.5
HAA01354,고전문학비평의시각과전개,인문대학,3.0,1.0677078252031311,3.0,4.0,4.0,0.9363047936792093,3.0,4.0,4.0,0.9363047936792092,3.0,4.0,3.0,0.918331820930394,3.0,4.0,4.0,0.971253485622231,3.0,5.0,4.0,0.971253485622231,3.0,5.0,4.0,0.9539392014169458,3.0,5.0
HAA01357,현대문화와이미지의예술,인문대학,4.0,1.138728807356386,3.0,4.75,4.0,0.8644378215075665,3.0,4.75,4.0,0.7703288865196432,3.0,4.0,4.0,0.7703288865196434,3.0,4.0,4.0,0.6629935441317958,4.0,4.75,4.0,0.8017837257372733,4.0,5.0,4.0,0.9168747682531898,3.25,4.75
HAA01460,한국어교육의체계와이해,인문대학,4.0,0.9979144919948468,3.0,5.0,4.0,0.8539125638299664,3.0,5.0,4.0,0.7187952884282609,4.0,5.0,4.0,0.8539125638299663,3.0,5.0,4.0,0.806225774829855,3.75,5.0,4.0,0.8062257748298548,3.75,5.0,4.0,0.8062257748298548,3.75,5.0
