교과코드,설문8
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,감사합니다
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,수업 좋아요.
KMA00101,
KMA00101,늘 고생하십니다^^
KMA00101,
KMA00101,
KMA00101,기말평가는 뭐 하실건가요!?
KMA00101,
KMA00101,无
KMA00101,
KMA00101,없습니다
KMA00101,넘 좋은 수업 감사합니다.
KMA00101,
KMA00101,
KMA00101,
KMA00101,0
KMA00101,
KMA00101,
KMA00101,
KMA00101,x
KMA00101,
KMA00101,교수님은 잘 가르치시고 좋으시지만 무교인 제게 과목이 어려워요
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,.
KMA00101,
KMA00101,
KMA00101,
KMA00101,없습니다!
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,없어요
KMA00101,
KMA00101,없다
KMA00101,
KMA00101,
KMA00101,暂时没有喔
KMA00101,
KMA00101,
KMA00101,教授您的课真是太好啦，祝您身体健康工作顺利
KMA00101,
KMA00101,
KMA00101,너무 좋았던 수업 감사합니다 선생님 수고 많으셨습니다
KMA00101,
KMA00101,
KMA00101,
KMA00101,없어요
KMA00101,없습니다.
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,수업에 매우 만족합니다!
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,과목 자체가 생소해서 시험은 쉽게 내주면 감사하겠습니다
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,없다
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,없습니다.
KMA00101,
KMA00101,
KMA00101,
KMA00101,굿
KMA00101,
KMA00101,
KMA00101,
KMA00101,발표 기회를 자유롭게 주셔서 저 같은 소심이한테도 발표할 기회가 생겨 좋아요. 감사합니다 :)
KMA00101,
KMA00101,지금처럼만 헤주십쇼
KMA00101,
KMA00101,
KMA00101,.
KMA00101,다 좋은 것같다
KMA00101,
KMA00101,
KMA00101,
KMA00101,지금 이대로도 충분히 만족합니다.
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA00101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,매주 좋은 강연 준비해주셔서 감사합니다.
KMA02101,
KMA02101,
KMA02101,없음
KMA02101,
KMA02101,
KMA02101,.
KMA02101,
KMA02101,
KMA02101,바라는점 없습니다
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없습니다
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없음
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,.
KMA02101,
KMA02101,수업이 다채롭고 다양해서 재미있습니다.감사합니다.
KMA02101,
KMA02101,
KMA02101,제가 한국말을 잘 못해서 교수님의 포용과 도움에 감사드립니다
KMA02101,
KMA02101,없습니다.
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,학생들도 필수 이수과목이여서 강제적인 참여이긴하지만 공연자들이 호응유도를 좀더 적극적으로 해서 관객들도 조금더 재밌게 즐겼으면한다(기독교가 아닌자들이 즐기지 못하는것은 당연하다고 생각이 되지만 그래도 조금이라도 더 즐겁게 느꼈으면 한다.)
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,너무 좋습니다
KMA02101,.
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,딱히 없어요....
KMA02101,
KMA02101,음악 많이 해주세요
KMA02101,
KMA02101,
KMA02101,
KMA02101,딱히 없다.
KMA02101,없음
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없다
KMA02101,없다
KMA02101,
KMA02101,
KMA02101,다른 종교를 믿는 학생들에게 불편할 것 같습니다
KMA02101,기독교에 대해 더 잘 알수 있게 되었어요.
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,힐링합니다
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없습니다
KMA02101,지금 이대로도 충분히 만족합니다.
KMA02101,굿!
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,계속 좋은 말씀 주시면 감사하겠습니다.
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,너무 좋았던 수업 감사합니다 선생님 수고 많으셨습니다
KMA02101,
KMA02101,
KMA02101,
KMA02101,暂时没有喔
KMA02101,
KMA02101,없음
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없어용
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,없음
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,X
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,","
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,
KMA02101,-
KMA02101,
KMA02101,찬양 합창이 더 많앗으면 좋겠어요
